AccX,AccY,AccZ,GyrX,GyrY,GyrZ
-0.0169683,-0.0608416,0.0304082,-0.0118655,0.175383,0.144428
-0.0980885,-0.0313143,-0.0819586,0.140479,1.52406,-0.354384
-0.0440667,-0.0233003,-0.103365,0.0290313,-0.258419,-0.0620142
-0.00126065,0.374596,0.230631,-0.931323,1.34294,-3.95696
-0.104691,-0.161693,0.153672,0.158542,0.218075,0.0970493
-0.0428549,-0.0770473,0.04171,0.0435969,0.0851569,0.18244
-0.021757,-0.0775448,0.0396739,-0.00775091,0.108815,0.178844
-0.0861501,-0.0388856,-0.0669707,0.112984,1.48615,-0.321361
-0.0449356,0.00590289,-0.109988,0.0339354,-0.156761,-0.0855305
-0.0972338,0.4161,0.112851,-0.999503,1.78307,-3.82134
-0.103825,-0.17299,0.166262,0.224466,0.22121,0.114236
-0.0384108,-0.0748218,0.062567,0.0461918,0.107092,0.245082
-0.0115658,-0.0898859,0.0528011,-0.00670398,0.0480453,0.215871
-0.11065,-0.0590331,-0.0662775,0.133029,1.40241,-0.300631
-0.0522282,0.010475,-0.0485437,0.0305703,-0.078252,-0.0744072
-0.164737,0.402425,0.0558052,-0.92719,1.86453,-3.75031
-0.115673,-0.182264,0.183664,0.318459,0.217495,0.137209
-0.0397437,-0.0516378,0.0581341,0.0787705,0.0994526,0.257263
-0.00247378,-0.0935266,0.0531398,-0.00868512,0.0216726,0.248895
-0.214585,-0.078763,-0.0881089,0.150205,1.1269,-0.25074
-0.0383347,0.00567508,0.00439335,0.0340964,-0.145581,-0.0732991
-0.223579,0.372481,0.0151396,-0.791876,1.89576,-3.52296
-0.113738,-0.190108,0.194329,0.418151,0.211326,0.159215
-0.0536184,-0.0429332,0.0321128,0.156279,0.0776189,0.222651
0.00482954,-0.0856506,0.0474639,-0.0107617,0.0235325,0.274135
-0.221304,-0.0832107,-0.0910003,0.129348,0.779772,-0.147682
-0.0254219,-0.0101676,0.0211311,0.0328994,-0.284039,-0.0914803
0.269584,0.659827,-0.136638,-0.648331,1.61102,-3.35874
-0.0980698,-0.2079,0.200192,0.516365,0.21383,0.172052
-0.0559625,-0.0457475,0.00180768,0.218643,0.0841204,0.192766
0.0114852,-0.0793427,0.0449345,-0.0148466,0.0420838,0.3001
-0.229699,-0.0742369,-0.0923067,0.105102,0.34417,-0.0593179
