"TimeStamp","FrameCounter","AccX","AccY","AccZ","GyrX","GyrY","GyrZ"
"0.01","1","0.041","0.004","0.03","-8.307891","-0.859437","1.8907614000000001"
"0.01","1","-0.091","0.175","-0.12","7.3911582000000005","-1.2032118","-1.4896908"
"0.01","1","0.004","0.015","0.0","-0.1145916","0.1718874","-0.3437748"
"0.01","1","0.003","0.009","-0.002","1.0313244","-0.5156622","-0.286479"
"0.01","1","0.008","0.03","0.007","-2.8074942000000003","2.6356068","-0.2291832"
"0.01","1","0.009","-0.006","0.005","0.572958","-0.572958","0.4010706"
"0.02","2","0.079","0.012","-0.019","-8.7089616","-0.6302538","1.3178034"
"0.02","2","-0.077","0.176","-0.103","7.8495246000000005","-1.2605076","-1.4896908"
"0.02","2","0.01","0.028","0.0","-0.2291832","0.5156622","-0.2291832"
"0.02","2","0.003","0.018","0.002","0.5156622","0.0572958","-0.1718874"
"0.02","2","0.025","0.042","0.012","-1.432395","1.3750992","-0.9740286"
"0.02","2","0.007","-0.007","0.013","0.4583664","-0.2291832","-0.1718874"
"0.03","3","0.079","0.008","-0.04","-5.156622","-0.8021412","1.2605076"
"0.03","3","-0.059","0.187","-0.091","6.016058999999999","-1.145916","-1.5469865999999999"
"0.03","3","0.011","0.025","0.002","-0.3437748","0.6302538","-0.3437748"
"0.03","3","0.0","0.017","0.004","0.4010706","0.2291832","-0.1718874"
"0.03","3","0.026","0.043","0.007","-0.9167328","0.6875496","-1.432395"
"0.03","3","0.004","-0.009","0.009","0.4010706","-0.0572958","0.2291832"
"0.04","4","0.074","0.005","-0.056","0.8021412","-0.9740286","1.7761698"
"0.04","4","-0.055","0.187","-0.093","4.010706000000001","-1.3178034","-1.8334656"
"0.04","4","0.009","0.019","0.002","-0.4583664","0.5156622","-0.3437748"
"0.04","4","-0.004","0.009","0.005","-0.0572958","0.2291832","-0.1718874"
"0.04","4","0.027","0.043","0.002","-0.6302538","0.286479","-1.6615782000000001"
"0.04","4","0.001","-0.006","0.0","0.6302538","-0.0572958","0.6302538"
"0.05","5","0.056","0.006","-0.042","8.136003599999999","-2.0626488","2.4637194"
"0.05","5","-0.067","0.183","-0.091","3.3231564000000002","-1.3178034","-2.1772404"
"0.05","5","0.004","0.016","0.001","-0.3437748","0.0","-0.4010706"
"0.05","5","-0.002","0.004","0.001","-0.1145916","0.0572958","-0.2291832"
"0.05","5","0.026","0.043","0.002","-0.4583664","0.0572958","-1.8334656"
"0.05","5","0.002","-0.007","-0.007","1.2605076","-0.572958","1.0886202"
"0.06","6","0.054","0.016","-0.006","10.8289062","-3.0366774","2.86479"
"0.06","6","-0.082","0.183","-0.086","3.437748","-1.145916","-2.5210152"
"0.06","6","0.006","0.017","0.0","-0.1145916","-0.5156622","-0.4010706"
"0.06","6","0.002","0.012","-0.003","0.0","-0.2291832","-0.2291832"
"0.06","6","0.026","0.042","0.002","-0.4010706","-0.0572958","-1.8907614000000001"
"0.06","6","0.006","-0.006","-0.008","0.859437","0.1718874","1.0886202"
"0.07","7","0.067","0.021","0.02","9.6256944","-3.9534102000000004","2.5210152"
"0.07","7","-0.085","0.181","-0.091","3.3804521999999997","-0.572958","-2.7501984"
"0.07","7","0.008","0.016","0.0","-0.1145916","-0.9167328","-0.2291832"
"0.07","7","0.005","0.02","-0.004","0.0572958","-0.1718874","-0.3437748"
"0.07","7","0.023","0.041","0.004","-0.4583664","-0.2291832","-1.8907614000000001"
"0.07","7","0.008","-0.005","-0.003","-0.4583664","1.3178034","0.6875496"
"0.08","8","0.076","0.019","0.028","5.5576926","-4.9847345999999995","1.718874"
"0.08","8","-0.089","0.17","-0.091","3.7815228000000003","-0.0572958","-3.2085648"
"0.08","8","0.009","0.014","-0.001","0.0","-1.3178034","-0.1145916"
"0.08","8","0.005","0.022","-0.004","-0.0572958","-0.5156622","-0.4010706"
"0.08","8","0.017","0.04","0.005","-0.572958","-0.4010706","-1.9480572"
"0.08","8","0.009","0.001","0.0","-1.4896908","1.718874","0.1718874"
"0.09","9","0.082","0.006","0.016","1.0313244","-5.9587632","0.9740286"
"0.09","9","-0.089","0.155","-0.071","4.2398891999999995","-0.286479","-3.151269"
"0.09","9","0.007","0.015","-0.001","0.0","-1.432395","-0.0572958"
"0.09","9","0.004","0.02","-0.004","-0.0572958","-1.0313244","-0.2291832"
"0.09","9","0.012","0.04","0.013","-0.9167328","-0.572958","-2.4064236"
"0.09","9","0.011","0.007","0.004","-2.3491278","2.9220857999999996","-0.2291832"
"0.1","10","0.088","0.0","0.001","-0.1718874","-6.589017","0.2291832"
"0.1","10","-0.072","0.148","-0.05","4.7555514","-0.7448454","-2.7501984"
"0.1","10","0.003","0.015","0.0","-0.0572958","-1.3750992","-0.0572958"
"0.1","10","0.006","0.017","0.0","0.0572958","-1.2605076","-0.1718874"
"0.1","10","0.013","0.043","0.025","-1.3178034","-0.859437","-3.3231564000000002"
"0.1","10","0.015","0.002","0.005","-2.9793816","3.5523396","-0.4583664"
"0.11","11","0.077","-0.009","-0.027","1.2032118","-7.5057498","-0.572958"
"0.11","11","-0.046","0.137","-0.061","4.3544808","-2.0626488","-2.1772404"
"0.11","11","0.0","0.016","0.002","-0.1145916","-1.5469865999999999","-0.1145916"
"0.11","11","0.004","0.012","0.005","0.2291832","-0.9740286","0.0"
"0.11","11","0.024","0.045","0.017","-2.0053530000000004","-1.2032118","-4.2398891999999995"
"0.11","11","0.011","-0.006","0.004","-2.7501984","3.2658606","-0.4010706"
"0.12","12","0.067","-0.018","-0.051","5.0420304","-7.906820400000001","-0.5156622"
"0.12","12","-0.038","0.156","-0.075","4.6409598","-3.2658606","-2.1199445999999997"
"0.12","12","-0.003","0.016","0.006","0.0","-1.5469865999999999","-0.0572958"
"0.12","12","0.001","0.006","0.008","0.286479","-0.859437","0.0572958"
"0.12","12","0.031","0.042","0.0","-2.6929026","-1.3750992","-4.8128472"
"0.12","12","0.013","0.0","0.005","-2.1772404","3.3804521999999997","-0.1145916"
"0.13","13","0.069","-0.021","-0.053","9.740286000000001","-8.6516658","0.0"
"0.13","13","-0.046","0.161","-0.064","6.4171296","-3.7815228000000003","-1.8907614000000001"
"0.13","13","-0.002","0.023","0.007","0.6302538","-1.3750992","-0.0572958"
"0.13","13","-0.005","-0.002","0.006","0.4583664","-0.1145916","0.1145916"
"0.13","13","0.031","0.042","0.022","-3.0366774","-1.2605076","-4.6982556"
"0.13","13","0.004","0.001","0.003","-2.1199445999999997","2.86479","-0.0572958"
"0.14","14","0.069","-0.016","-0.025","13.1207382","-9.2246238","0.4010706"
"0.14","14","-0.057","0.177","-0.046","9.6829902","-4.068001799999999","-1.5469865999999999"
"0.14","14","0.002","0.03","-0.001","1.4896908","-1.3750992","-0.0572958"
"0.14","14","-0.01","0.0","-0.002","0.4010706","0.286479","0.1718874"
"0.14","14","0.035","0.043","0.022","-3.437748","-0.9167328","-4.1252976"
"0.14","14","0.001","-0.012","-0.002","-1.432395","2.5210152","0.0"
"0.15","15","0.073","-0.008","0.007","12.891555","-8.9954406","0.6875496"
"0.15","15","-0.066","0.186","-0.029","11.45916","-3.2085648","-0.8021412"
"0.15","15","0.002","0.033","-0.005","1.3750992","-1.4896908","0.0572958"
"0.15","15","-0.011","0.004","-0.008","0.5156622","0.4010706","0.0"
"0.15","15","0.033","0.04","0.0","-3.7815228000000003","-0.5156622","-2.9793816"
"0.15","15","0.009","-0.02","-0.007","-0.9740286","2.578311","0.2291832"
