"TimeStamp","FrameCounter","AccX","AccY","AccZ","QuatW","QuatX","QuatY","QuatZ"
"0.01","1","-0.057","0.247","-0.831","0.389","-0.4974","-0.0902","0.77"
"0.01","1","-0.3","-0.027","-0.942","0.9695","-0.0007","-0.09419999999999999","0.2262"
"0.01","1","0.26","-0.962","0.151","0.6188","-0.6657","-0.3236","-0.26280000000000003"
"0.01","1","-0.125","-0.959","0.04","0.6775","-0.7142000000000001","-0.153","-0.08549999999999999"
"0.01","1","-1.01","0.083","0.06","-0.16419999999999998","0.5025000000000001","-0.20739999999999997","0.8230000000000001"
"0.01","1","0.024","0.93","-0.264","0.735","0.5259","0.265","-0.3359"
"0.02","2","0.109","0.293","-0.968","0.3901","-0.4976","-0.0908","0.7693"
"0.02","2","-0.198","-0.01","-1.013","0.9695","-0.00030000000000000003","-0.0937","0.22599999999999998"
"0.02","2","0.296","-0.968","0.113","0.6188","-0.6656","-0.3237","-0.263"
"0.02","2","-0.124","-0.957","0.036","0.6775","-0.7142000000000001","-0.1532","-0.0856"
"0.02","2","-1.002","0.08","0.059","-0.1637","0.5025000000000001","-0.2068","0.8233"
"0.02","2","0.085","0.946","-0.232","0.735","0.5258","0.2651","-0.33599999999999997"
"0.03","3","0.101","0.289","-0.972","0.3911","-0.49779999999999996","-0.0915","0.7686"
"0.03","3","-0.196","-0.011","-1.024","0.9696","0.0","-0.09330000000000001","0.2258"
"0.03","3","0.294","-0.96","0.114","0.6188","-0.6655","-0.3237","-0.2631"
"0.03","3","-0.123","-0.959","0.041","0.6774","-0.7142000000000001","-0.1534","-0.0857"
"0.03","3","-1.004","0.079","0.061","-0.16319999999999998","0.5024","-0.2061","0.8234999999999999"
"0.03","3","0.087","0.946","-0.228","0.735","0.5257","0.2653","-0.33599999999999997"
"0.04","4","0.106","0.304","-0.979","0.3921","-0.4979","-0.09240000000000001","0.7679"
"0.04","4","-0.189","-0.012","-1.025","0.9696999999999999","0.0004","-0.093","0.22549999999999998"
"0.04","4","0.288","-0.952","0.114","0.6189","-0.6654","-0.3236","-0.2632"
"0.04","4","-0.128","-0.967","0.041","0.6774","-0.7142000000000001","-0.1535","-0.0858"
"0.04","4","-1.017","0.078","0.061","-0.1629","0.5025000000000001","-0.2056","0.8238"
"0.04","4","0.089","0.951","-0.22","0.7349","0.5257","0.26549999999999996","-0.33599999999999997"
"0.05","5","0.113","0.328","-0.98","0.393","-0.49800000000000005","-0.0931","0.7672"
"0.05","5","-0.177","-0.003","-1.024","0.9698","0.001","-0.0926","0.22519999999999998"
"0.05","5","0.282","-0.944","0.115","0.6191","-0.6653","-0.3235","-0.2633"
"0.05","5","-0.132","-0.976","0.039","0.6774","-0.7142000000000001","-0.15360000000000001","-0.0859"
