TimeStamp,FrameCounter,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
,,,,,,,
0.02,1,-0.493,-0.665,0.823,3.6096354,0.3437748,-1.6042824
,,,,,,,
0.02,1,0.032,-0.554,0.582,1.3178034,-5.9014674,-5.5003968
,,,,,,,
0.02,1,0.044,0.201,0.023,3.6096354,0.3437748,0.1718874
,,,,,,,
0.02,1,0.003,0.129,-0.107,0.572958,0.8021412,0.3437748
,,,,,,,
0.02,1,0.116,0.071,-0.373,17.9335854,-21.1421502,-0.572958
,,,,,,,
0.02,1,-0.076,0.037,0.084,-10.6570188,-54.6601932,-0.2291832
,,,,,,,
0.04,2,-0.496,-0.666,0.826,5.0993262,0.286479,-3.3231564
,,,,,,,
0.04,2,0.104,-0.543,0.665,1.432395,-6.5317212,-3.3804522
,,,,,,,
0.04,2,0.054,0.216,0.031,2.86479,0.0572958,1.3750992
,,,,,,,
0.04,2,0.003,0.128,-0.107,1.432395,0.9167328,0.286479
,,,,,,,
0.04,2,0.177,0.045,-0.496,-0.2291832,-6.589017,-4.2398892
,,,,,,,
0.04,2,-0.157,0.059,0.211,-0.1145916,-4.1252976,0.0572958
,,,,,,,
0.06,3,-0.495,-0.709,0.844,6.8182002,9.6256944,-4.583664
,,,,,,,
0.06,3,0.089,-0.543,0.666,0.5156622,-7.0473834,-3.3231564
,,,,,,,
0.06,3,0.052,0.198,0.035,1.718874,0.6875496,0.9740286
,,,,,,,
0.06,3,0.008,0.131,-0.112,1.6615782,1.0313244,0.1145916
,,,,,,,
0.06,3,0.16,0.058,-0.497,-0.3437748,-6.7036086,-3.724227
,,,,,,,
0.06,3,-0.16,0.065,0.211,-0.1718874,-4.010706,0.0572958
,,,,,,,
0.08,4,-0.496,-0.738,0.87,9.5683986,28.9916748,-6.4171296
,,,,,,,
0.08,4,0.072,-0.54,0.675,-3.5523396,-7.3911582,-2.5210152
,,,,,,,
0.08,4,0.047,0.203,0.038,3.6096354,0.4010706,1.0886202
,,,,,,,
0.08,4,0.002,0.122,-0.123,1.2032118,0.572958,0
,,,,,,,
0.08,4,0.154,0.06,-0.498,-0.7448454,-7.734933,-2.86479
,,,,,,,
0.08,4,-0.162,0.07,0.216,-0.4583664,-5.6149884,0.1718874
,,,,,,,
0.1,5,-0.58,-0.689,0.925,15.0687954,42.7426668,-7.3338624
,,,,,,,
0.1,5,0.083,-0.568,0.691,-8.2505952,-8.9381448,-1.6042824
,,,,,,,
0.1,5,0.046,0.223,0.037,4.2398892,0.2291832,1.3750992
,,,,,,,
0.1,5,0.004,0.115,-0.128,2.005353,0.5156622,0.1145916
,,,,,,,
0.1,5,0.161,0.051,-0.504,-0.5156622,-8.3651868,-2.2345362
,,,,,,,
0.1,5,-0.162,0.062,0.24,0.6875496,-8.307891,0.1718874
,,,,,,,
0.12,6,-0.632,-0.629,0.915,22.058883,29.4500412,-6.8182002
,,,,,,,
0.12,6,0.116,-0.588,0.685,-6.9900876,-10.9434978,-1.0313244
,,,,,,,
0.12,6,0.04,0.221,0.034,4.297185,0.0572958,1.2032118
,,,,,,,
0.12,6,0,0.121,-0.124,2.5210152,0,0.0572958
,,,,,,,
0.12,6,0.169,0.043,-0.504,0.2291832,-7.9068204,-1.6615782
,,,,,,,
0.12,6,-0.164,0.067,0.236,3.437748,-9.5683986,0.0572958
,,,,,,,
0.14,7,-0.607,-0.631,0.863,26.4133638,13.0634424,-5.5003968
,,,,,,,
0.14,7,0.134,-0.583,0.678,-4.2398892,-12.5477802,-2.291832
,,,,,,,
0.14,7,0.047,0.221,0.024,4.3544808,0,1.2605076
,,,,,,,
0.14,7,0.009,0.126,-0.115,2.8074942,-0.1718874,-0.0572958
,,,,,,,
0.14,7,0.169,0.019,-0.495,0.5156622,-7.0473834,-1.0886202
,,,,,,,
0.14,7,-0.156,0.062,0.227,4.583664,-9.5111028,-0.3437748
,,,,,,,
