"TimeStamp","FrameCounter","AccX","AccY","AccZ","QuatW","QuatX","QuatY","QuatZ"
"0.005","1","-0.096","-0.586","-0.817","-0.6437","-0.761","0.07780000000000001","-0.0166"
"0.005","1","0.448","0.062","-0.879","-0.5655","0.42169999999999996","0.5309999999999999","-0.46929999999999994"
"0.005","1","-0.082","0.994","0.244","0.3247","0.2835","-0.7135","0.5523"
"0.005","1","-0.179","-0.9","0.355","0.199","-0.2495","0.8367000000000001","0.44480000000000003"
"0.005","1","0.822","0.082","0.054","0.4866","-0.6293","-0.2669","0.5438"
"0.005","1","-0.172","0.955","-0.37","0.5044","0.3393","-0.32999999999999996","0.7221"
"0.01","2","-0.091","-0.587","-0.807","-0.6437999999999999","-0.7609","0.078","-0.0171"
"0.01","2","0.446","0.055","-0.873","-0.5655","0.42190000000000005","0.5306","-0.46950000000000003"
"0.01","2","-0.095","0.994","0.248","0.3246","0.28359999999999996","-0.7135","0.5523"
"0.01","2","-0.187","-0.937","0.26","0.1992","-0.2495","0.8367000000000001","0.44489999999999996"
"0.01","2","0.964","0.035","0.184","0.4866","-0.6293","-0.2671","0.5438"
"0.01","2","-0.118","0.933","-0.352","0.5043","0.3393","-0.3302","0.722"
"0.015","3","-0.084","-0.59","-0.798","-0.6439","-0.7607999999999999","0.07830000000000001","-0.017599999999999998"
"0.015","3","0.44","0.051","-0.861","-0.5655","0.42210000000000003","0.5302","-0.46980000000000005"
"0.015","3","-0.096","0.993","0.244","0.3245","0.2837","-0.7135","0.5522"
"0.015","3","-0.188","-0.934","0.261","0.1993","-0.2495","0.8366","0.445"
"0.015","3","0.961","0.035","0.189","0.4866","-0.6293","-0.2673","0.5437000000000001"
"0.015","3","-0.119","0.932","-0.35","0.5042","0.33940000000000003","-0.3303","0.722"
"0.02","4","-0.08","-0.594","-0.794","-0.6439","-0.7607","0.0785","-0.018099999999999998"
"0.02","4","0.435","0.051","-0.843","-0.5655","0.4223","0.5299","-0.47000000000000003"
"0.02","4","-0.095","0.992","0.244","0.3244","0.2837","-0.7135","0.5522"
"0.02","4","-0.19","-0.935","0.26","0.1995","-0.2495","0.8365","0.44509999999999994"
"0.02","4","0.966","0.032","0.189","0.48650000000000004","-0.6293","-0.2676","0.5436"
"0.02","4","-0.117","0.93","-0.35","0.5042","0.33940000000000003","-0.3305","0.7219"
"0.025","5","-0.082","-0.596","-0.79","-0.6439","-0.7607","0.0787","-0.0187"
"0.025","5","0.428","0.053","-0.829","-0.5655","0.4226","0.5296000000000001","-0.4702"
"0.025","5","-0.092","0.996","0.243","0.3243","0.2838","-0.7136","0.5522"
"0.025","5","-0.193","-0.936","0.259","0.1996","-0.2495","0.8364","0.4452"
"0.025","5","0.966","0.033","0.183","0.48650000000000004","-0.6293","-0.2678","0.5435"
