"TimeStamp","FrameCounter","AccX","AccY","AccZ","QuatW","QuatX","QuatY","QuatZ"
"0.01","1","-0.41","-0.038","-0.516","0.7397","0.0931","0.6644","-0.0511"
"0.01","1","-0.051","0.25","-0.971","0.1903","0.446","0.0114","0.8744"
"0.01","1","-0.037","-0.964","0.238","0.5902000000000001","-0.8055999999999999","0.047","0.016"
"0.01","1","-0.089","-0.927","0.296","0.5096","-0.8547","0.0881","0.0438"
"0.01","1","-1.002","0.034","0.284","0.5403","0.2646","0.7611","0.242"
"0.01","1","0.023","0.967","-0.223","0.7828","0.6166","-0.067","0.0493"
"0.02","2","-0.427","-0.127","-0.885","0.7394999999999999","0.0935","0.6645","-0.0511"
"0.02","2","-0.044","0.233","-0.98","0.1908","0.4434","0.0103","0.8756"
"0.02","2","-0.039","-0.97","0.233","0.5904","-0.8055","0.047","0.0161"
"0.02","2","-0.11","-0.954","0.244","0.5098","-0.8545999999999999","0.0882","0.044"
"0.02","2","-1.003","0.037","0.286","0.5403","0.26480000000000004","0.7607999999999999","0.2425"
"0.02","2","0.024","0.96","-0.265","0.7828","0.6166","-0.0671","0.0494"
"0.03","3","-0.428","-0.13","-0.882","0.7394000000000001","0.0939","0.6646","-0.0512"
"0.03","3","-0.038","0.22","-0.984","0.1913","0.4406","0.0093","0.8769"
"0.03","3","-0.039","-0.968","0.227","0.5906","-0.8054","0.047","0.0161"
"0.03","3","-0.118","-0.956","0.241","0.51","-0.8544","0.0882","0.0442"
"0.03","3","-1.001","0.034","0.287","0.5404","0.2651","0.7605000000000001","0.2431"
"0.03","3","0.026","0.968","-0.267","0.7828","0.6165","-0.0673","0.0495"
"0.04","4","-0.433","-0.13","-0.882","0.7392000000000001","0.09419999999999999","0.6647000000000001","-0.0513"
"0.04","4","-0.032","0.223","-0.98","0.1916","0.4387","0.0083","0.8779"
"0.04","4","-0.043","-0.966","0.227","0.5907","-0.8053000000000001","0.0469","0.0161"
"0.04","4","-0.112","-0.957","0.231","0.5102","-0.8543","0.0883","0.0443"
"0.04","4","-0.996","0.03","0.285","0.5405","0.2653","0.7602","0.24359999999999998"
"0.04","4","0.028","0.966","-0.267","0.7828999999999999","0.6164","-0.0674","0.0497"
