"TimeStamp","FrameCounter","AccX","AccY","AccZ","QuatW","QuatX","QuatY","QuatZ"
"0.06","12","0.208","1.189","-0.55","0.5138","0.6416999999999999","-0.0874","-0.5625"
"0.06","12","0.918","0.013","0.367","0.5102","-0.3786","-0.7221","0.27349999999999997"
"0.06","12","0.876","0.051","0.439","0.5707","0.1321","-0.8070999999999999","-0.0735"
"0.06","12","0.027","-0.919","-0.168","0.7986","-0.4344","0.3203","0.266"
"0.06","12","-0.072","0.998","-0.032","0.851","0.4766","-0.1012","0.1954"
"0.065","13","0.756","-0.187","-0.621","0.7921","0.3558","-0.4344","-0.23879999999999998"
"0.065","13","0.161","1.177","-0.562","0.5158","0.642","-0.0872","-0.5603"
"0.065","13","0.909","0.018","0.364","0.5097","-0.37879999999999997","-0.7222999999999999","0.2736"
"0.065","13","0.883","0.082","0.426","0.5706","0.1319","-0.8071999999999999","-0.0733"
"0.065","13","0.029","-0.905","-0.175","0.7986","-0.4345","0.32080000000000003","0.2652"
"0.065","13","-0.065","1.007","-0.028","0.8507","0.4769","-0.1021","0.1957"
"0.07","14","0.759","-0.174","-0.61","0.7929","0.3573","-0.4303","-0.2415"
"0.07","14","0.137","1.159","-0.568","0.518","0.6423","-0.0873","-0.5579"
"0.07","14","0.908","0.032","0.361","0.5092","-0.3789","-0.7224999999999999","0.2737"
"0.07","14","0.89","0.108","0.408","0.5705","0.13169999999999998","-0.8073","-0.073"
"0.07","14","0.029","-0.889","-0.182","0.7986","-0.4346","0.32130000000000003","0.2644"
"0.07","14","-0.056","1.0","-0.05","0.8503000000000001","0.47729999999999995","-0.10300000000000001","0.196"
"0.075","15","0.759","-0.167","-0.609","0.7937000000000001","0.3588","-0.42610000000000003","-0.24409999999999998"
"0.075","15","0.124","1.138","-0.57","0.5205","0.6426999999999999","-0.0877","-0.5551999999999999"
"0.075","15","0.907","0.046","0.357","0.5086","-0.3792","-0.7228","0.2738"
"0.075","15","0.895","0.122","0.385","0.5704","0.1315","-0.8074","-0.0728"
"0.075","15","0.027","-0.868","-0.177","0.7987","-0.4346","0.32189999999999996","0.2636"
"0.075","15","-0.051","0.998","-0.046","0.85","0.47750000000000004","-0.10400000000000001","0.1963"
"0.08","16","0.764","-0.173","-0.608","0.7945","0.3601","-0.422","-0.2466"
"0.08","16","0.116","1.112","-0.563","0.523","0.643","-0.0883","-0.5523"
"0.08","16","0.908","0.056","0.363","0.5081","-0.3794","-0.7230000000000001","0.2738"
"0.08","16","0.895","0.133","0.375","0.5703","0.1313","-0.8074999999999999","-0.0726"
"0.08","16","0.024","-0.864","-0.17","0.7987","-0.4346","0.3225","0.26280000000000003"
"0.08","16","-0.043","0.998","-0.045","0.8497","0.4777","-0.1049","0.1966"
"0.085","17","0.766","-0.183","-0.601","0.7953","0.3613","-0.418","-0.24900000000000003"
"0.085","17","0.11","1.076","-0.553","0.5258","0.6433","-0.0891","-0.5493"
"0.085","17","0.908","0.055","0.37","0.5075000000000001","-0.3796","-0.7232000000000001","0.2739"
"0.085","17","0.898","0.142","0.364","0.5703","0.1311","-0.8076000000000001","-0.07239999999999999"
"0.085","17","0.021","-0.864","-0.164","0.7987","-0.4346","0.323","0.262"
"0.085","17","-0.038","0.996","-0.053","0.8493999999999999","0.47779999999999995","-0.1059","0.19690000000000002"
"0.09","18","0.758","-0.19","-0.589","0.7963","0.36219999999999997","-0.414","-0.25139999999999996"
"0.09","18","0.102","1.041","-0.533","0.5286","0.6435","-0.09","-0.5461"
"0.09","18","0.911","0.052","0.374","0.507","-0.3799","-0.7234","0.274"
"0.09","18","0.899","0.148","0.354","0.5702","0.1309","-0.8077","-0.0721"
"0.09","18","0.013","-0.865","-0.155","0.7988000000000001","-0.4346","0.3236","0.2612"
"0.09","18","-0.022","0.998","-0.045","0.8492000000000001","0.47800000000000004","-0.10700000000000001","0.1971"
"0.095","19","0.746","-0.187","-0.586","0.7972","0.3631","-0.41","-0.2537"
"0.095","19","0.079","0.986","-0.497","0.5317000000000001","0.6437","-0.091","-0.5427"
"0.095","19","0.915","0.05","0.376","0.5065000000000001","-0.3802","-0.7236","0.2741"
"0.095","19","0.905","0.156","0.343","0.5700999999999999","0.1306","-0.8078","-0.07189999999999999"
"0.095","19","0.009","-0.866","-0.145","0.7988000000000001","-0.4345","0.3243","0.2605"
"0.095","19","-0.013","0.997","-0.053","0.8488","0.4782","-0.1081","0.1973"
"0.1","20","0.739","-0.182","-0.587","0.798","0.364","-0.4061","-0.2561"
"0.1","20","0.081","0.956","-0.482","0.5347999999999999","0.6437999999999999","-0.09190000000000001","-0.5393"
"0.1","20","0.92","0.052","0.378","0.5059","-0.3806","-0.7238","0.2742"
"0.1","20","0.911","0.163","0.34","0.5700000000000001","0.13040000000000002","-0.8079000000000001","-0.0717"
"0.1","20","0.005","-0.867","-0.131","0.7988000000000001","-0.4345","0.3249","0.2597"
"0.1","20","-0.006","1.0","-0.059","0.8484999999999999","0.47859999999999997","-0.1091","0.1976"
"0.105","21","0.735","-0.185","-0.592","0.7988999999999999","0.3648","-0.4022","-0.2585"
"0.105","21","0.1","0.932","-0.468","0.538","0.6439","-0.09290000000000001","-0.5357999999999999"
"0.105","21","0.919","0.049","0.384","0.5054000000000001","-0.3809","-0.7239","0.2742"
"0.105","21","0.922","0.171","0.341","0.5699","0.1301","-0.8080999999999999","-0.07139999999999999"
"0.105","21","0.004","-0.863","-0.121","0.7987","-0.4345","0.3255","0.2591"
"0.105","21","-0.006","0.992","-0.066","0.8481","0.4789","-0.1102","0.1978"
"0.11","22","0.728","-0.203","-0.597","0.7997","0.36560000000000004","-0.3983","-0.2609"
"0.11","22","0.075","0.918","-0.474","0.5412","0.644","-0.0937","-0.5323"
"0.11","22","0.925","0.041","0.386","0.5049","-0.38130000000000003","-0.7241","0.2743"
"0.11","22","0.928","0.173","0.344","0.5698000000000001","0.12969999999999998","-0.8082","-0.0712"
