"TimeStamp","FrameCounter","AccX","AccY","AccZ","QuatW","QuatX","QuatY","QuatZ"
"0.01","1","0.019","0.04","-0.013","0.9768000000000001","-0.21139999999999998","-0.0303","0.0097"
"0.01","1","-0.059","0.034","-0.024","0.9738","-0.2259","-0.0211","0.0078"
"0.01","1","0.01","0.03","-0.03","0.6134000000000001","0.0733","0.7856","-0.0324"
"0.01","1","-0.001","0.01","-0.061","0.6068","0.7946","0.0129","0.0007"
"0.01","1","0.122","-0.028","0.338","0.7375","-0.0782","-0.6684","0.0553"
"0.01","1","0.003","0.007","-0.066","0.6866","0.7243999999999999","-0.0378","0.0465"
"0.02","2","0.035","0.023","-0.004","0.9772000000000001","-0.2096","-0.029699999999999997","0.0099"
"0.02","2","-0.053","0.034","-0.025","0.9743","-0.2239","-0.0211","0.0077"
"0.02","2","0.008","0.027","-0.03","0.6138","0.0733","0.7853","-0.032600000000000004"
"0.02","2","0.0","0.011","-0.069","0.6073999999999999","0.7942","0.0128","0.0010999999999999998"
"0.02","2","0.123","-0.029","0.343","0.7408","-0.0777","-0.6647000000000001","0.05620000000000001"
"0.02","2","0.006","0.004","-0.045","0.6860999999999999","0.7249","-0.0379","0.046700000000000005"
"0.03","3","0.033","0.023","-0.002","0.9776","-0.20790000000000003","-0.029199999999999997","0.0099"
"0.03","3","-0.053","0.029","-0.025","0.9747999999999999","-0.2218","-0.0211","0.0076"
"0.03","3","0.003","0.028","-0.026","0.6142000000000001","0.0733","0.7849","-0.0329"
"0.03","3","-0.003","0.015","-0.057","0.608","0.7938","0.0127","0.0017000000000000001"
"0.03","3","0.127","-0.027","0.345","0.7441","-0.0772","-0.6611","0.057199999999999994"
"0.03","3","0.007","0.018","-0.04","0.6856","0.7253000000000001","-0.0379","0.0469"
"0.04","4","0.033","0.022","-0.01","0.978","-0.2063","-0.028599999999999997","0.01"
"0.04","4","-0.052","0.025","-0.028","0.9752000000000001","-0.2197","-0.0212","0.0075"
"0.04","4","-0.003","0.032","-0.021","0.6147","0.0733","0.7846","-0.0332"
"0.04","4","-0.006","0.014","-0.049","0.6086","0.7933","0.0126","0.0021999999999999997"
"0.04","4","0.125","-0.026","0.349","0.7472000000000001","-0.0766","-0.6575","0.0581"
"0.04","4","0.011","0.025","-0.036","0.6851","0.7258","-0.038","0.047"
"0.05","5","0.037","0.016","-0.022","0.9783","-0.20470000000000002","-0.028100000000000003","0.010100000000000001"
"0.05","5","-0.047","0.019","-0.032","0.9757","-0.2177","-0.0212","0.0073999999999999995"
"0.05","5","-0.003","0.03","-0.016","0.6151","0.0733","0.7842","-0.0335"
"0.05","5","-0.003","0.008","-0.045","0.6092","0.7928","0.0125","0.0028"
"0.05","5","0.116","-0.026","0.359","0.7502","-0.0761","-0.6541","0.059"
"0.05","5","0.01","0.025","-0.027","0.6844","0.7264","-0.0381","0.047099999999999996"
"0.06","6","0.043","0.014","-0.019","0.9785999999999999","-0.2032","-0.027500000000000004","0.010100000000000001"
"0.06","6","-0.052","0.018","-0.039","0.9761","-0.2157","-0.0213","0.0072"
"0.06","6","-0.003","0.03","-0.013","0.6155999999999999","0.0733","0.7838","-0.033800000000000004"
"0.06","6","-0.002","0.008","-0.037","0.6099","0.7923","0.0123","0.0033"
"0.06","6","0.115","-0.026","0.366","0.7531","-0.0756","-0.6507","0.059899999999999995"
"0.06","6","0.01","0.023","-0.019","0.6837","0.7271","-0.0382","0.047299999999999995"
"0.07","7","0.047","0.023","-0.018","0.9789999999999999","-0.2016","-0.027000000000000003","0.010199999999999999"
"0.07","7","-0.054","0.02","-0.041","0.9766","-0.2138","-0.0213","0.0070999999999999995"
"0.07","7","-0.002","0.034","-0.011","0.6161","0.0733","0.7834","-0.034"
"0.07","7","0.0","0.011","-0.033","0.6105","0.7918000000000001","0.012199999999999999","0.0039"
"0.07","7","0.12","-0.025","0.368","0.7559","-0.0752","-0.6474","0.0607"
"0.07","7","0.013","0.018","-0.012","0.6829","0.7279","-0.0383","0.0475"
"0.08","8","0.057","0.016","-0.015","0.9793","-0.2","-0.0264","0.0104"
"0.08","8","-0.057","0.025","-0.04","0.977","-0.21190000000000003","-0.0214","0.0068000000000000005"
"0.08","8","0.001","0.032","-0.008","0.6165","0.07339999999999999","0.783","-0.034300000000000004"
"0.08","8","0.001","0.009","-0.031","0.6112","0.7912","0.012","0.0046"
"0.08","8","0.123","-0.025","0.369","0.7586999999999999","-0.0747","-0.6441","0.0616"
"0.08","8","0.017","0.018","-0.004","0.6819","0.7287","-0.0386","0.0477"
"0.09","9","0.061","0.012","-0.017","0.9797","-0.1984","-0.0259","0.0106"
"0.09","9","-0.057","0.024","-0.041","0.9773999999999999","-0.2098","-0.0214","0.006500000000000001"
"0.09","9","0.001","0.027","-0.005","0.617","0.0735","0.7827","-0.034499999999999996"
"0.09","9","0.003","0.009","-0.026","0.6119","0.7907","0.0118","0.0052"
"0.09","9","0.123","-0.026","0.367","0.7613000000000001","-0.0743","-0.641","0.0624"
"0.09","9","0.02","0.018","-0.003","0.6808","0.7297","-0.038900000000000004","0.0481"
"0.1","10","0.061","0.004","-0.026","0.9800000000000001","-0.19690000000000002","-0.0254","0.0108"
"0.1","10","-0.058","0.017","-0.045","0.9779","-0.20779999999999998","-0.0215","0.0062"
"0.1","10","0.0","0.022","0.0","0.6174999999999999","0.0736","0.7823","-0.034699999999999995"
"0.1","10","0.009","0.006","-0.02","0.6126","0.7902","0.011600000000000001","0.0059"
"0.1","10","0.126","-0.026","0.366","0.7638","-0.0739","-0.638","0.0632"
"0.1","10","0.019","0.016","-0.011","0.6795","0.7309","-0.0393","0.0484"
"0.11","11","0.06","0.001","-0.036","0.9803000000000001","-0.1955","-0.0251","0.0111"
"0.11","11","-0.055","0.007","-0.049","0.9783","-0.2057","-0.0216","0.0057"
"0.11","11","0.0","0.018","0.007","0.618","0.0737","0.7819","-0.0349"
"0.11","11","0.013","0.006","-0.022","0.6132","0.7897000000000001","0.0114","0.006500000000000001"
"0.11","11","0.137","-0.027","0.366","0.7661","-0.0735","-0.6352","0.0639"
"0.11","11","0.012","0.011","-0.022","0.6780999999999999","0.7322","-0.0398","0.0487"
"0.12","12","0.058","-0.002","-0.03","0.9804999999999999","-0.19419999999999998","-0.0248","0.0114"
"0.12","12","-0.052","-0.001","-0.046","0.9787000000000001","-0.2037","-0.0217","0.0052"
"0.12","12","0.006","0.019","0.011","0.6184000000000001","0.0738","0.7815000000000001","-0.0351"
"0.12","12","0.011","0.008","-0.018","0.6139","0.7892","0.0111","0.0072"
"0.12","12","0.145","-0.027","0.366","0.7683","-0.0732","-0.6325000000000001","0.06470000000000001"
"0.12","12","0.008","-0.001","-0.036","0.6767000000000001","0.7333999999999999","-0.0402","0.049"
"0.13","13","0.053","0.005","-0.037","0.9808","-0.193","-0.0245","0.0118"
"0.13","13","-0.049","-0.003","-0.042","0.9791000000000001","-0.20179999999999998","-0.0217","0.0048000000000000004"
"0.13","13","0.009","0.015","0.013","0.6189","0.0739","0.7811","-0.0353"
"0.13","13","0.009","0.008","-0.016","0.6144000000000001","0.7888","0.0108","0.0078"
"0.13","13","0.151","-0.024","0.365","0.7704","-0.07289999999999999","-0.6299","0.0654"
"0.13","13","0.001","-0.01","-0.043","0.6755","0.7344999999999999","-0.040600000000000004","0.0492"
"0.14","14","0.046","0.005","-0.039","0.9810000000000001","-0.19190000000000002","-0.0242","0.0121"
