"TimeStamp","FrameCounter","AccX","AccY","AccZ","QuatW","QuatX","QuatY","QuatZ"
"0.12","12","-0.14","-0.405","-0.942","0.5689","-0.2177","-0.6745","0.417"
"0.12","12","0.299","0.11","-1.003","0.9845","-0.09419999999999999","-0.1093","0.0987"
"0.12","12","-0.017","-0.995","-0.019","0.6325999999999999","-0.6585","-0.2988","-0.277"
"0.12","12","0.3","-0.931","0.089","0.6087","-0.7202","-0.3312","-0.0314"
"0.12","12","-1.016","0.036","0.057","-0.2068","0.6238","-0.1917","0.7288"
"0.12","12","0.059","0.98","-0.07","0.6288","0.6133","0.29569999999999996","-0.3752"
"0.13","13","-0.143","-0.385","-0.946","0.5692999999999999","-0.2189","-0.6742","0.4163"
"0.13","13","0.307","0.117","-1.021","0.9843999999999999","-0.0937","-0.1096","0.1"
"0.13","13","-0.02","-0.995","-0.02","0.6325000000000001","-0.6584","-0.2993","-0.277"
"0.13","13","0.302","-0.927","0.087","0.6082","-0.7203","-0.3319","-0.0314"
"0.13","13","-1.011","0.034","0.057","-0.20659999999999998","0.6238","-0.1906","0.7291000000000001"
"0.13","13","0.059","0.987","-0.075","0.6289","0.6127","0.2961","-0.37570000000000003"
"0.14","14","-0.137","-0.384","-0.938","0.5697","-0.2203","-0.6738000000000001","0.4157"
"0.14","14","0.312","0.107","-1.06","0.9843","-0.09330000000000001","-0.10969999999999999","0.10129999999999999"
"0.14","14","-0.024","-0.995","-0.02","0.6322","-0.6583","-0.2999","-0.2771"
"0.14","14","0.305","-0.922","0.085","0.6077","-0.7203999999999999","-0.3325","-0.0314"
"0.14","14","-1.015","0.034","0.055","-0.2064","0.6239","-0.1896","0.7293999999999999"
"0.14","14","0.06","0.985","-0.073","0.6291","0.6121000000000001","0.2964","-0.3762"
"0.15","15","-0.132","-0.396","-0.924","0.5700000000000001","-0.2218","-0.6733","0.4152"
"0.15","15","0.306","0.109","-1.079","0.9842000000000001","-0.0932","-0.10940000000000001","0.10269999999999999"
"0.15","15","-0.023","-1.011","-0.014","0.6319","-0.6583","-0.3005","-0.2772"
"0.15","15","0.31","-0.917","0.084","0.6072","-0.7205","-0.3332","-0.0314"
"0.15","15","-1.02","0.035","0.052","-0.2061","0.6239","-0.1887","0.7297"
"0.15","15","0.062","0.984","-0.07","0.6292","0.6115999999999999","0.2967","-0.3766"
"0.16","16","-0.143","-0.408","-0.903","0.5702","-0.2233","-0.6729","0.41479999999999995"
"0.16","16","0.31","0.105","-1.074","0.9841","-0.09340000000000001","-0.1092","0.10389999999999999"
"0.16","16","-0.023","-1.026","-0.007","0.6315000000000001","-0.6584","-0.30110000000000003","-0.2773"
"0.16","16","0.311","-0.917","0.084","0.6067","-0.7207","-0.3338","-0.0314"
"0.16","16","-1.021","0.033","0.051","-0.20590000000000003","0.6239","-0.1879","0.7299"
"0.16","16","0.062","0.993","-0.069","0.6293","0.6112","0.29700000000000004","-0.3769"
"0.17","17","-0.165","-0.421","-0.885","0.5705","-0.22469999999999998","-0.6724","0.4144"
"0.17","17","0.323","0.097","-1.052","0.9839","-0.0937","-0.1093","0.10500000000000001"
"0.17","17","-0.028","-1.04","0.0","0.631","-0.6585","-0.30179999999999996","-0.2774"
"0.17","17","0.313","-0.917","0.084","0.6062000000000001","-0.7208","-0.3343","-0.0314"
"0.17","17","-1.02","0.035","0.049","-0.2057","0.6239","-0.1872","0.7302"
"0.17","17","0.058","0.996","-0.068","0.6294","0.6107","0.2973","-0.3772"
"0.18","18","-0.175","-0.43","-0.88","0.5708","-0.2258","-0.6721","0.4138"
"0.18","18","0.348","0.108","-1.015","0.9837","-0.0943","-0.10980000000000001","0.1058"
"0.18","18","-0.04","-1.052","-0.001","0.6303","-0.6588","-0.3025","-0.27759999999999996"
