"TimeStamp","FrameCounter","AccX","AccY","AccZ","QuatW","QuatX","QuatY","QuatZ"
"0.005","1","-0.145","-0.562","-0.867","-0.748","-0.10840000000000001","0.635","-0.1592"
"0.005","1","0.719","0.107","-0.562","0.1517","0.8106","0.1173","-0.5532"
"0.005","1","-0.118","0.978","0.221","0.5905","0.7377","-0.2539","0.20600000000000002"
"0.005","1","-0.191","-0.935","0.253","0.2632","-0.371","0.7166","0.5286"
"0.005","1","0.879","-0.18","0.385","0.9766","-0.0763","-0.0619","0.1911"
"0.005","1","-0.125","0.94","-0.348","0.6228","0.5898","-0.252","0.4479"
"0.01","2","-0.15","-0.562","-0.862","-0.7477","-0.1086","0.6355000000000001","-0.1585"
"0.01","2","0.427","-0.024","-0.9","0.15209999999999999","0.8101","0.11710000000000001","-0.5539"
"0.01","2","-0.115","0.967","0.24","0.5906","0.7375","-0.254","0.2062"
"0.01","2","-0.195","-0.932","0.258","0.2633","-0.3711","0.7166","0.5284"
"0.01","2","0.873","-0.181","0.388","0.9766","-0.0765","-0.0621","0.1906"
"0.01","2","-0.118","0.937","-0.347","0.6228","0.5896","-0.2521","0.4481"
"0.015","3","-0.15","-0.565","-0.859","-0.7474000000000001","-0.10880000000000001","0.636","-0.1578"
"0.015","3","0.424","-0.028","-0.893","0.1524","0.8096","0.11679999999999999","-0.5546"
"0.015","3","-0.108","0.968","0.234","0.5907","0.7373000000000001","-0.2542","0.2064"
"0.015","3","-0.199","-0.935","0.263","0.2633","-0.37120000000000003","0.7167","0.5283"
"0.015","3","0.866","-0.18","0.392","0.9766999999999999","-0.0767","-0.0623","0.19019999999999998"
"0.015","3","-0.112","0.935","-0.348","0.6229","0.5892999999999999","-0.2521","0.4483"
"0.02","4","-0.149","-0.563","-0.855","-0.7471","-0.1089","0.6365000000000001","-0.1571"
"0.02","4","0.422","-0.034","-0.886","0.1528","0.8090999999999999","0.1165","-0.5551999999999999"
"0.02","4","-0.101","0.97","0.227","0.5907","0.7372","-0.2545","0.20659999999999998"
"0.02","4","-0.197","-0.941","0.264","0.26339999999999997","-0.3714","0.7167","0.5281"
"0.02","4","0.86","-0.179","0.395","0.9766999999999999","-0.0769","-0.0627","0.1897"
"0.02","4","-0.107","0.935","-0.35","0.6229","0.5891","-0.2522","0.4485"
"0.025","5","-0.15","-0.558","-0.847","-0.7468","-0.1091","0.637","-0.1565"
"0.025","5","0.417","-0.036","-0.888","0.1532","0.8087","0.1163","-0.5558"
"0.025","5","-0.09","0.972","0.221","0.5907","0.737","-0.25470000000000004","0.2069"
"0.025","5","-0.193","-0.941","0.263","0.26349999999999996","-0.3715","0.7167","0.528"
"0.025","5","0.857","-0.18","0.398","0.9768000000000001","-0.0771","-0.063","0.1893"
"0.025","5","-0.101","0.928","-0.351","0.623","0.5888","-0.2522","0.4487"
"0.03","6","-0.157","-0.561","-0.833","-0.7464000000000001","-0.1093","0.6376000000000001","-0.15589999999999998"
"0.03","6","0.417","-0.031","-0.892","0.15360000000000001","0.8083","0.11599999999999999","-0.5563"
"0.03","6","-0.084","0.975","0.218","0.5907","0.7369","-0.255","0.2071"
"0.03","6","-0.187","-0.941","0.261","0.2636","-0.37170000000000003","0.7166","0.5277999999999999"
"0.03","6","0.86","-0.181","0.4","0.9768000000000001","-0.07730000000000001","-0.0635","0.189"
"0.03","6","-0.098","0.927","-0.35","0.6231","0.5885","-0.2522","0.44889999999999997"
"0.035","7","-0.162","-0.574","-0.824","-0.746","-0.1096","0.6382","-0.1552"
"0.035","7","0.417","-0.03","-0.896","0.154","0.808","0.1156","-0.5567"
"0.035","7","-0.083","0.977","0.214","0.5907","0.7368","-0.2552","0.20739999999999997"
"0.035","7","-0.179","-0.938","0.26","0.2636","-0.3719","0.7166","0.5277000000000001"
"0.035","7","0.864","-0.182","0.4","0.9768000000000001","-0.0774","-0.064","0.1886"
"0.035","7","-0.096","0.924","-0.349","0.6232","0.5883","-0.2522","0.44909999999999994"
"0.04","8","-0.161","-0.598","-0.819","-0.7455","-0.11000000000000001","0.6389","-0.1544"
"0.04","8","0.417","-0.034","-0.902","0.1545","0.8077","0.1153","-0.557"
"0.04","8","-0.087","0.976","0.21","0.5906","0.7367","-0.25539999999999996","0.2076"
"0.04","8","-0.173","-0.933","0.26","0.2637","-0.372","0.7166","0.5275000000000001"
"0.04","8","0.866","-0.18","0.401","0.9769","-0.0776","-0.0645","0.1883"
"0.04","8","-0.097","0.921","-0.347","0.6234","0.588","-0.2523","0.4492"
"0.045","9","-0.152","-0.617","-0.809","-0.7449","-0.1105","0.6397","-0.1535"
"0.045","9","0.421","-0.04","-0.907","0.155","0.8074999999999999","0.11499999999999999","-0.5573"
"0.045","9","-0.095","0.977","0.211","0.5905","0.7365999999999999","-0.2557","0.20790000000000003"
"0.045","9","-0.164","-0.932","0.257","0.2637","-0.3722","0.7166","0.5274"
"0.045","9","0.866","-0.178","0.405","0.9769","-0.0777","-0.065","0.1879"
"0.045","9","-0.098","0.917","-0.347","0.6235","0.5878","-0.2523","0.44939999999999997"
"0.05","10","-0.142","-0.633","-0.793","-0.7443","-0.1111","0.6406","-0.1524"
"0.05","10","0.431","-0.049","-0.911","0.1555","0.8073","0.1146","-0.5575"
"0.05","10","-0.102","0.981","0.22","0.5904","0.7365","-0.2559","0.2082"
"0.05","10","-0.162","-0.929","0.247","0.2638","-0.37229999999999996","0.7167","0.5273"
"0.05","10","0.865","-0.176","0.407","0.9769","-0.0779","-0.0656","0.1876"
"0.05","10","-0.099","0.913","-0.351","0.6235999999999999","0.5876","-0.2523","0.4495"
"0.055","11","-0.128","-0.641","-0.771","-0.7436","-0.1121","0.6416000000000001","-0.15089999999999998"
"0.055","11","0.445","-0.06","-0.909","0.1561","0.8070999999999999","0.1142","-0.5577"
"0.055","11","-0.108","0.993","0.24","0.5902000000000001","0.7365","-0.2561","0.2084"
"0.055","11","-0.162","-0.928","0.239","0.2638","-0.3724","0.7167","0.5272"
"0.055","11","0.866","-0.176","0.409","0.9769","-0.078","-0.06620000000000001","0.1873"
"0.055","11","-0.102","0.908","-0.355","0.6237","0.5873","-0.2524","0.44960000000000006"
"0.06","12","-0.122","-0.626","-0.762","-0.7428","-0.1133","0.6426999999999999","-0.1492"
"0.06","12","0.453","-0.067","-0.898","0.1568","0.8069000000000001","0.1139","-0.5579"
"0.06","12","-0.112","1.008","0.263","0.5901","0.7365","-0.25630000000000003","0.20870000000000002"
"0.06","12","-0.17","-0.93","0.234","0.26389999999999997","-0.3725","0.7167","0.5271"
