"TimeStamp","FrameCounter","AccX","AccY","AccZ","QuatW","QuatX","QuatY","QuatZ"
"0.01","1","0.38","0.35","-0.616","0.5019","-0.5962","-0.49850000000000005","0.3793"
"0.01","1","-0.397","-0.13","-0.777","0.5422","0.3993","0.3625","-0.6442"
"0.01","1","0.001","-0.903","0.465","0.14350000000000002","-0.16899999999999998","-0.7724","-0.595"
"0.01","1","0.041","-0.934","0.31","0.2669","-0.3274","-0.8055","-0.4154"
"0.01","1","-0.993","0.008","-0.065","-0.1078","-0.7365999999999999","-0.2246","-0.6285999999999999"
"0.01","1","-0.004","0.962","-0.216","-0.4272","-0.3729","0.5959","-0.5685"
"0.02","2","0.116","0.345","-0.872","0.5029","-0.596","-0.49820000000000003","0.37879999999999997"
"0.02","2","-0.411","-0.254","-0.938","0.5427","0.399","0.36269999999999997","-0.6439"
"0.02","2","0.023","-0.934","0.462","0.1404","-0.1676","-0.7671","-0.603"
"0.02","2","-0.035","-0.954","0.269","0.2682","-0.3276","-0.8051","-0.41509999999999997"
"0.02","2","-0.976","-0.001","0.006","-0.1075","-0.7371000000000001","-0.2239","-0.6283000000000001"
"0.02","2","0.014","0.905","-0.342","-0.4255","-0.3727","0.5962","-0.5696"
"0.03","3","0.12","0.355","-0.876","0.5038","-0.5957","-0.4979","0.37829999999999997"
"0.03","3","-0.403","-0.245","-0.94","0.5431","0.3988","0.363","-0.6435"
"0.03","3","0.009","-0.985","0.359","0.13740000000000002","-0.16570000000000001","-0.7615999999999999","-0.6111"
"0.03","3","-0.063","-0.972","0.261","0.2692","-0.3275","-0.805","-0.41479999999999995"
"0.03","3","-0.992","0.006","0.008","-0.1071","-0.7376","-0.2232","-0.6281"
"0.03","3","0.043","0.937","-0.384","-0.4242","-0.3726","0.5963","-0.5705"
"0.04","4","0.129","0.368","-0.874","0.5046","-0.5955","-0.49770000000000003","0.378"
"0.04","4","-0.4","-0.252","-0.93","0.5433","0.3986","0.3635","-0.6431"
"0.04","4","-0.077","-1.038","0.21","0.135","-0.16399999999999998","-0.7563","-0.6186"
"0.04","4","-0.064","-0.994","0.26","0.2699","-0.327","-0.8051","-0.41459999999999997"
"0.04","4","-1.02","0.019","0.011","-0.10669999999999999","-0.7382","-0.22240000000000001","-0.6277999999999999"
"0.04","4","0.076","0.972","-0.378","-0.42329999999999995","-0.3727","0.5961000000000001","-0.5713"
"0.05","5","0.152","0.374","-0.869","0.5051","-0.5952","-0.4976","0.378"
"0.05","5","-0.412","-0.268","-0.896","0.5435","0.3984","0.364","-0.6428"
"0.05","5","-0.042","-1.088","0.154","0.1333","-0.1618","-0.7525000000000001","-0.6242"
"0.05","5","-0.028","-0.99","0.269","0.27040000000000003","-0.3262","-0.8054","-0.4143"
"0.05","5","-1.072","0.033","0.02","-0.10629999999999999","-0.7388","-0.22160000000000002","-0.6274"
"0.05","5","0.095","0.996","-0.384","-0.4229","-0.373","0.5956","-0.5719000000000001"
"0.06","6","0.17","0.363","-0.873","0.5054000000000001","-0.5948","-0.4974","0.37839999999999996"
"0.06","6","-0.413","-0.281","-0.875","0.5436","0.3982","0.3644","-0.6426000000000001"
"0.06","6","0.119","-0.996","0.206","0.13169999999999998","-0.1593","-0.75","-0.6282"
"0.06","6","0.028","-0.966","0.271","0.27080000000000004","-0.32530000000000003","-0.8058","-0.41390000000000005"
"0.06","6","-1.104","0.041","0.024","-0.1059","-0.7394000000000001","-0.2209","-0.627"
"0.06","6","0.092","0.965","-0.372","-0.4229","-0.3735","0.5949","-0.5723"
"0.07","7","0.164","0.336","-0.885","0.5056","-0.5944","-0.49729999999999996","0.3789"
"0.07","7","-0.41","-0.285","-0.87","0.5438","0.398","0.3648","-0.6424000000000001"
"0.07","7","0.242","-0.828","0.355","0.1302","-0.1565","-0.7487","-0.6308"
