AccX,AccY,AccZ,GyrX,GyrY,GyrZ
0.00537858,-0.0224799,-0.0412903,0.0354121,-0.143725,-0.00302576
-0.0182691,-0.0460466,-0.0276426,-0.0812889,0.0466176,0.0658571
0.00657434,0.00191724,0.0235428,-0.00640192,0.0185011,-0.00601141
-0.0223316,0.00112832,-0.00617995,-0.00226435,-0.0382955,0.00122547
0.000858893,0.0253341,-0.00820145,0.0349296,-0.00522994,0.0056311
0.0108486,-0.00444967,0.0146568,-0.0332448,-0.060881,-0.00182816
0.0169602,-0.0275382,-0.0609515,0.0245406,-0.117741,-0.022077
-0.016901,-0.0324566,-0.0301619,-0.127254,0.0225457,0.10027
-5.29708e-05,-0.00195491,0.00737785,-0.00350964,0.0126934,-0.00710261
-0.0239085,-0.00338578,0.00138683,-0.000589934,-0.0176786,0.0042977
8.7768e-05,0.0238842,-0.00897505,0.0665462,-0.026111,0.0127708
0.00420231,-0.00515199,0.0121019,-0.0138612,-0.0542022,-0.00439569
0.0263573,-0.00289398,-0.0635362,-0.0199875,-0.105192,-0.0631133
-0.0246184,-0.0187727,-0.029067,-0.141592,0.00933498,0.106075
0.00193345,-0.0015738,0.00474056,-0.00346974,0.00010538,-0.0111254
-0.0270564,0.00841165,0.00164622,-0.00681865,-0.0250109,0.00105568
-0.00144858,-0.00108302,-0.0124754,0.095786,-0.0548391,0.0162571
0.00119614,0.00268799,0.0135,0.00307494,-0.0559546,0.0055989
0.0291958,0.0114603,-0.0483754,-0.0158842,-0.0867524,-0.0803146
-0.0221353,-0.0181724,-0.0251777,-0.133867,0.00566985,0.110321
-0.00160076,-0.00917673,0.00255157,-0.00274416,-0.00562108,-0.00469773
-0.0193662,0.00141168,0.000586523,-0.00756296,-0.0274896,0.00255843
-0.0091664,-0.00895077,-0.00598639,0.0867006,-0.0775568,0.00967777
0.0,0.0,0.0,0.00135302,-0.064902,-0.00289665
0.0203434,0.0140157,-0.0479285,0.0279941,-0.0646341,-0.0692727
-0.0286437,-0.00274289,-0.0203509,-0.108743,-0.00173727,0.0965416
-0.0071674,-0.000885248,-0.00165704,-0.00296644,-0.00613197,-0.0134894
-0.0210422,0.00724137,0.00313886,-0.00874132,-0.0323644,0.00386875
-0.0104117,-0.00991952,-0.00823945,0.06932,-0.0974296,0.00967594
0.00191068,-0.00790292,0.00814504,-0.0132734,-0.0558069,-0.000734428
0.0174826,0.00855756,-0.0511494,0.0643399,-0.0414006,-0.0551554
-0.024841,0.00702989,-0.0203322,-0.0692879,-0.00398182,0.077633
0.0,0.0,0.0,0.00203711,-0.0173501,-0.00617385
-0.0157236,-0.00159967,0.00240018,-0.0106055,-0.0370346,0.00418261
-0.00965796,-0.00382674,-0.0139057,0.0542887,-0.114097,0.00737048
0.00411754,0.00325423,0.00816407,-0.00487482,-0.067479,-0.0115495
0.0240111,0.0174909,-0.0611203,0.0546544,-0.00691143,-0.0500855
-0.0230381,0.0176047,-0.0255223,-0.0250004,-0.00255752,0.0537672
-0.000242868,0.0126059,0.010344,-4.66013e-05,-0.0102233,-0.00585582
-0.0292952,0.00200844,0.00703718,-0.00715011,-0.0425975,0.00367138
-0.0152647,-0.00361681,-0.0109933,0.0434678,-0.129758,0.0135221
-0.0022124,0.00149733,0.00658008,-0.00215674,-0.065097,-0.0121407
0.0200407,0.0182487,-0.0521012,0.0271276,0.0171337,-0.0504357
-0.026105,0.0148619,-0.0283896,0.0144024,0.00161422,0.0277595
4.03135e-05,0.00175691,0.00555415,-0.00384054,0.000716466,0.00107482
-0.0181301,6.6638e-05,0.00345378,-0.00418905,-0.0429618,0.00156584
-0.00915588,0.00256264,-0.0157539,0.0269386,-0.151447,0.0263155
-0.00961465,0.00364441,-0.00197959,-0.00221879,-0.0663118,-0.0122545
0.00756612,0.0206757,-0.0329045,0.0586488,0.017502,-0.0201208
-0.0302951,0.0216937,-0.029591,0.0441239,-0.00566971,0.0064715
0.0,0.0,0.0,-0.00289906,-0.010299,0.000673473
-0.0238865,0.00255668,0.00421732,-0.0109787,-0.0405384,0.0021936
-0.011855,0.00384891,-0.0176778,0.0140797,-0.176567,0.0427225
-0.0103221,0.00679749,0.00653192,-0.0121015,-0.0587241,-0.00949761
-0.0262824,0.0356345,0.0290751,0.248442,-0.0184222,0.107099
-0.0278124,0.0263216,-0.0454816,0.0581218,-0.0229642,-0.00980296
0.00579523,0.00639391,0.0113342,-0.00107039,-0.0147585,0.00462021
-0.0199865,0.00383449,0.00145812,-0.00609822,-0.0365995,0.00416592
-0.0169009,0.00471926,-0.015405,-0.00461868,-0.197885,0.0570973
-0.011425,-0.00606668,0.000376934,-0.00571102,-0.0553561,-0.00939387
-0.0226644,0.0397148,0.00507536,0.54218,-0.0479882,0.293257
-0.0408288,0.01337,-0.0498709,0.00887814,-0.0505848,-0.00790125
0.0,0.0,0.0,-0.00515964,-0.00196543,0.000926977
-0.0260607,-0.00568467,0.0068777,-0.00477749,-0.0332064,0.00545561
-0.00862834,-0.00638926,-0.0062772,-0.0233217,-0.220027,0.0742873
-0.00280275,0.00644642,0.00124076,-0.00870537,-0.0375281,-0.0145917
-0.0215509,0.0315931,-0.0122019,0.612641,-0.096175,0.356396
-0.0318402,0.0166018,-0.0486026,-0.0468283,-0.0706762,-0.00830005
0.0,0.0,0.0,-0.00187234,0.00183898,-0.00650903
-0.0186535,-0.00310636,0.00464032,-0.00371739,-0.0306481,0.00226015
-0.00984946,0.00595784,-0.0168844,-0.0499079,-0.240993,0.0793463
-0.00854634,0.00181836,0.00652988,-0.0113861,-0.0261583,-0.0165587
0.000558717,0.0175142,-0.0504504,0.524714,-0.0803091,0.34091
